discipline_title,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code,game_location,game_name,game_season,game_year
Triathlon,Mixed Relay,Mixed,SILVER,GameTeam,United States,,,USA,US,USA,Japan,Tokyo 2020,Summer,2020
Triathlon,Mixed Relay,Mixed,BRONZE,GameTeam,France,,,France,FR,FRA,Japan,Tokyo 2020,Summer,2020
Table Tennis,Women's Team,Women,GOLD,GameTeam,China,,,China,CN,CHN,Japan,Tokyo 2020,Summer,2020
Table Tennis,Women's Team,Women,SILVER,GameTeam,Japan,,,Japan,JP,JPN,Japan,Tokyo 2020,Summer,2020
Table Tennis,Women's Team,Women,BRONZE,GameTeam,"Hong Kong, China",,,"Hong Kong, China",HK,HKG,Japan,Tokyo 2020,Summer,2020
Table Tennis,Men's Team,Men,GOLD,GameTeam,China,,,China,CN,CHN,Japan,Tokyo 2020,Summer,2020
Table Tennis,Men's Team,Men,SILVER,GameTeam,Germany,,,Germany,DE,GER,Japan,Tokyo 2020,Summer,2020
Table Tennis,Men's Team,Men,BRONZE,GameTeam,Japan,,,Japan,JP,JPN,Japan,Tokyo 2020,Summer,2020
Volleyball,Men,Men,GOLD,GameTeam,France,,,France,FR,FRA,Japan,Tokyo 2020,Summer,2020
Volleyball,Men,Men,SILVER,GameTeam,ROC,,,ROC,ROC,ROC,Japan,Tokyo 2020,Summer,2020
Volleyball,Men,Men,BRONZE,GameTeam,Argentina,,,Argentina,AR,ARG,Japan,Tokyo 2020,Summer,2020
Volleyball,Women,Women,GOLD,GameTeam,United States,,,USA,US,USA,Japan,Tokyo 2020,Summer,2020
Volleyball,Women,Women,SILVER,GameTeam,Brazil,,,Brazil,BR,BRA,Japan,Tokyo 2020,Summer,2020
Volleyball,Women,Women,BRONZE,GameTeam,Serbia,,,Serbia,RS,SRB,Japan,Tokyo 2020,Summer,2020
Basketball,Men,Men,GOLD,GameTeam,United States,,,USA,US,USA,Japan,Tokyo 2020,Summer,2020
Basketball,Men,Men,SILVER,GameTeam,France,,,France,FR,FRA,Japan,Tokyo 2020,Summer,2020
Basketball,Men,Men,BRONZE,GameTeam,Australia,,,Australia,AU,AUS,Japan,Tokyo 2020,Summer,2020
Basketball,Women,Women,GOLD,GameTeam,United States,,,USA,US,USA,Japan,Tokyo 2020,Summer,2020
Basketball,Women,Women,SILVER,GameTeam,Japan,,,Japan,JP,JPN,Japan,Tokyo 2020,Summer,2020
Basketball,Women,Women,BRONZE,GameTeam,France,,,France,FR,FRA,Japan,Tokyo 2020,Summer,2020
Cycling Track,Men's Team Pursuit,Men,GOLD,GameTeam,Italy,,,Italy,IT,ITA,Japan,Tokyo 2020,Summer,2020
Cycling Track,Men's Team Pursuit,Men,SILVER,GameTeam,Denmark,,,Denmark,DK,DEN,Japan,Tokyo 2020,Summer,2020
Cycling Track,Men's Team Pursuit,Men,BRONZE,GameTeam,Australia,,,Australia,AU,AUS,Japan,Tokyo 2020,Summer,2020
Cycling Track,Women's Team Pursuit,Women,GOLD,GameTeam,Germany,,,Germany,DE,GER,Japan,Tokyo 2020,Summer,2020
Cycling Track,Women's Team Pursuit,Women,SILVER,GameTeam,Great Britain,,,Great Britain,GB,GBR,Japan,Tokyo 2020,Summer,2020
Cycling Track,Women's Team Pursuit,Women,BRONZE,GameTeam,United States,,,USA,US,USA,Japan,Tokyo 2020,Summer,2020
Cycling Track,Men's Team Sprint,Men,GOLD,GameTeam,Netherlands,,,Netherlands,NL,NED,Japan,Tokyo 2020,Summer,2020
Cycling Track,Men's Team Sprint,Men,SILVER,GameTeam,Great Britain,,,Great Britain,GB,GBR,Japan,Tokyo 2020,Summer,2020
Cycling Track,Men's Team Sprint,Men,BRONZE,GameTeam,France,,,France,FR,FRA,Japan,Tokyo 2020,Summer,2020
Fencing,Women's Épée Team,Women,GOLD,GameTeam,Estonia,,,Estonia,EE,EST,Japan,Tokyo 2020,Summer,2020
Fencing,Women's Épée Team,Women,SILVER,GameTeam,Republic of Korea,,,South Korea,KR,KOR,Japan,Tokyo 2020,Summer,2020
Fencing,Women's Épée Team,Women,BRONZE,GameTeam,Italy,,,Italy,IT,ITA,Japan,Tokyo 2020,Summer,2020
Fencing,Men's Foil Team,Men,GOLD,GameTeam,France,,,France,FR,FRA,Japan,Tokyo 2020,Summer,2020
Fencing,Men's Foil Team,Men,SILVER,GameTeam,ROC,,,ROC,ROC,ROC,Japan,Tokyo 2020,Summer,2020
Fencing,Men's Foil Team,Men,BRONZE,GameTeam,United States,,,USA,US,USA,Japan,Tokyo 2020,Summer,2020
Fencing,Men's Épée Team,Men,GOLD,GameTeam,Japan,,,Japan,JP,JPN,Japan,Tokyo 2020,Summer,2020
